Year,Reference area,Sex,Degree of urbanisation,Time period details,Value
2009,Pailin,Female,,2019-2020,42.8
2010,Pailin,Female,,2019-2020,31.9
2011,Pailin,Female,,2019-2020,32.6
2012,Pailin,Female,,2019-2020,30.2
2013,Pailin,Female,,2019-2020,26.9
2014,Pailin,Female,,2019-2020,27.4
2015,Pailin,Female,,2019-2020,26.8
2016,Pailin,Female,,2019-2020,27.5
2017,Pailin,Female,,2019-2020,32.9
2018,Pailin,Female,,2019-2020,31.4
2019,Pailin,Female,,2019-2020,32.1
2009,Pailin,Male,,2019-2020,45.5
2010,Pailin,Male,,2019-2020,43.1
2011,Pailin,Male,,2019-2020,32.4
2012,Pailin,Male,,2019-2020,32.3
2013,Pailin,Male,,2019-2020,26.4
2014,Pailin,Male,,2019-2020,26.1
2015,Pailin,Male,,2019-2020,23.2
2016,Pailin,Male,,2019-2020,25.7
2017,Pailin,Male,,2019-2020,27.4
2018,Pailin,Male,,2019-2020,26.6
2019,Pailin,Male,,2019-2020,28.6
2009,Pailin,,,2019-2020,44.2
2010,Pailin,,,2019-2020,37.6
2011,Pailin,,,2019-2020,32.5
2012,Pailin,,,2019-2020,31.3
2013,Pailin,,,2019-2020,26.6
2014,Pailin,,,2019-2020,26.7
2015,Pailin,,,2019-2020,24.9
2016,Pailin,,,2019-2020,26.6
2017,Pailin,,,2019-2020,30.0
2018,Pailin,,,2019-2020,28.9
2019,Pailin,,,2019-2020,30.3
2009,Phnom Penh,Female,,2019-2020,65.1
2010,Phnom Penh,Female,,2019-2020,46.5
2011,Phnom Penh,Female,,2019-2020,54.6
2012,Phnom Penh,Female,,2019-2020,52.4
2013,Phnom Penh,Female,,2019-2020,50.0
2014,Phnom Penh,Female,,2019-2020,51.9
2015,Phnom Penh,Female,,2019-2020,43.2
2016,Phnom Penh,Female,,2019-2020,44.4
2017,Phnom Penh,Female,,2019-2020,44.9
2018,Phnom Penh,Female,,2019-2020,45.8
2019,Phnom Penh,Female,,2019-2020,47.0
2009,Phnom Penh,Male,,2019-2020,76.2
2010,Phnom Penh,Male,,2019-2020,54.8
2011,Phnom Penh,Male,,2019-2020,66.8
2012,Phnom Penh,Male,,2019-2020,57.4
2013,Phnom Penh,Male,,2019-2020,53.4
2014,Phnom Penh,Male,,2019-2020,57.4
2015,Phnom Penh,Male,,2019-2020,47.8
2016,Phnom Penh,Male,,2019-2020,47.1
2017,Phnom Penh,Male,,2019-2020,45.9
2018,Phnom Penh,Male,,2019-2020,45.6
2019,Phnom Penh,Male,,2019-2020,47.4
2009,Phnom Penh,,,2019-2020,70.6
2010,Phnom Penh,,,2019-2020,50.5
2011,Phnom Penh,,,2019-2020,60.6
2012,Phnom Penh,,,2019-2020,54.9
2013,Phnom Penh,,,2019-2020,51.7
2014,Phnom Penh,,,2019-2020,54.6
2015,Phnom Penh,,,2019-2020,45.5
2016,Phnom Penh,,,2019-2020,45.7
2017,Phnom Penh,,,2019-2020,45.4
2018,Phnom Penh,,,2019-2020,45.7
2019,Phnom Penh,,,2019-2020,47.2
2009,Preah Sihanouk,Female,,2019-2020,37.8
2010,Preah Sihanouk,Female,,2019-2020,39.2
2011,Preah Sihanouk,Female,,2019-2020,35.2
2012,Preah Sihanouk,Female,,2019-2020,34.1
2013,Preah Sihanouk,Female,,2019-2020,30.6
2014,Preah Sihanouk,Female,,2019-2020,31.1
2015,Preah Sihanouk,Female,,2019-2020,29.7
2016,Preah Sihanouk,Female,,2019-2020,33.7
2017,Preah Sihanouk,Female,,2019-2020,31.8
2018,Preah Sihanouk,Female,,2019-2020,34.1
2019,Preah Sihanouk,Female,,2019-2020,32.7
2009,Preah Sihanouk,Male,,2019-2020,46.2
2010,Preah Sihanouk,Male,,2019-2020,46.5
2011,Preah Sihanouk,Male,,2019-2020,39.4
2012,Preah Sihanouk,Male,,2019-2020,33.2
2013,Preah Sihanouk,Male,,2019-2020,31.9
2014,Preah Sihanouk,Male,,2019-2020,33.1
2015,Preah Sihanouk,Male,,2019-2020,30.5
2016,Preah Sihanouk,Male,,2019-2020,33.8
2017,Preah Sihanouk,Male,,2019-2020,27.6
2018,Preah Sihanouk,Male,,2019-2020,32.0
2019,Preah Sihanouk,Male,,2019-2020,29.3
2009,Preah Sihanouk,,,2019-2020,42.1
2010,Preah Sihanouk,,,2019-2020,43.0
2011,Preah Sihanouk,,,2019-2020,37.4
2012,Preah Sihanouk,,,2019-2020,33.6
2013,Preah Sihanouk,,,2019-2020,31.2
2014,Preah Sihanouk,,,2019-2020,32.1
2015,Preah Sihanouk,,,2019-2020,30.1
2016,Preah Sihanouk,,,2019-2020,33.7
2017,Preah Sihanouk,,,2019-2020,29.6
2018,Preah Sihanouk,,,2019-2020,33.0
2019,Preah Sihanouk,,,2019-2020,30.9
2009,Preah Vihear,Female,,2019-2020,39.0
2010,Preah Vihear,Female,,2019-2020,43.4
2011,Preah Vihear,Female,,2019-2020,38.4
2012,Preah Vihear,Female,,2019-2020,38.4
2013,Preah Vihear,Female,,2019-2020,44.5
2014,Preah Vihear,Female,,2019-2020,44.6
2015,Preah Vihear,Female,,2019-2020,42.4
2016,Preah Vihear,Female,,2019-2020,46.3
2017,Preah Vihear,Female,,2019-2020,53.5
2018,Preah Vihear,Female,,2019-2020,57.4
2019,Preah Vihear,Female,,2019-2020,58.3
2009,Preah Vihear,Male,,2019-2020,37.5
2010,Preah Vihear,Male,,2019-2020,43.2
2011,Preah Vihear,Male,,2019-2020,35.5
2012,Preah Vihear,Male,,2019-2020,36.1
2013,Preah Vihear,Male,,2019-2020,36.4
2014,Preah Vihear,Male,,2019-2020,35.8
2015,Preah Vihear,Male,,2019-2020,35.3
2016,Preah Vihear,Male,,2019-2020,38.0
2017,Preah Vihear,Male,,2019-2020,40.8
2018,Preah Vihear,Male,,2019-2020,43.9
2019,Preah Vihear,Male,,2019-2020,45.3
2009,Preah Vihear,,,2019-2020,38.2
2010,Preah Vihear,,,2019-2020,43.3
2011,Preah Vihear,,,2019-2020,37.0
2012,Preah Vihear,,,2019-2020,37.2
2013,Preah Vihear,,,2019-2020,40.3
2014,Preah Vihear,,,2019-2020,40.1
2015,Preah Vihear,,,2019-2020,38.8
2016,Preah Vihear,,,2019-2020,42.1
2017,Preah Vihear,,,2019-2020,47.0
2018,Preah Vihear,,,2019-2020,50.5
2019,Preah Vihear,,,2019-2020,51.6
2009,Prey Veng,Female,,2019-2020,43.7
2010,Prey Veng,Female,,2019-2020,44.2
2011,Prey Veng,Female,,2019-2020,41.0
2012,Prey Veng,Female,,2019-2020,38.3
2013,Prey Veng,Female,,2019-2020,39.8
2014,Prey Veng,Female,,2019-2020,42.8
2015,Prey Veng,Female,,2019-2020,46.2
2016,Prey Veng,Female,,2019-2020,51.0
2017,Prey Veng,Female,,2019-2020,58.7
2018,Prey Veng,Female,,2019-2020,60.2
2019,Prey Veng,Female,,2019-2020,57.9
2009,Prey Veng,Male,,2019-2020,52.1
2010,Prey Veng,Male,,2019-2020,53.8
2011,Prey Veng,Male,,2019-2020,44.0
2012,Prey Veng,Male,,2019-2020,41.7
2013,Prey Veng,Male,,2019-2020,42.5
2014,Prey Veng,Male,,2019-2020,43.0
2015,Prey Veng,Male,,2019-2020,42.1
2016,Prey Veng,Male,,2019-2020,44.9
2017,Prey Veng,Male,,2019-2020,47.1
2018,Prey Veng,Male,,2019-2020,47.1
2019,Prey Veng,Male,,2019-2020,47.0
2009,Prey Veng,,,2019-2020,48.0
2010,Prey Veng,,,2019-2020,49.1
2011,Prey Veng,,,2019-2020,42.6
2012,Prey Veng,,,2019-2020,40.1
2013,Prey Veng,,,2019-2020,41.2
2014,Prey Veng,,,2019-2020,42.9
2015,Prey Veng,,,2019-2020,44.0
2016,Prey Veng,,,2019-2020,47.8
2017,Prey Veng,,,2019-2020,52.6
2018,Prey Veng,,,2019-2020,53.3
2019,Prey Veng,,,2019-2020,52.2
2009,Pursat,Female,,2019-2020,47.4
2010,Pursat,Female,,2019-2020,46.6
2011,Pursat,Female,,2019-2020,38.6
2012,Pursat,Female,,2019-2020,33.3
2013,Pursat,Female,,2019-2020,35.3
2014,Pursat,Female,,2019-2020,35.1
2015,Pursat,Female,,2019-2020,36.3
2016,Pursat,Female,,2019-2020,41.3
2017,Pursat,Female,,2019-2020,45.9
2018,Pursat,Female,,2019-2020,45.8
2019,Pursat,Female,,2019-2020,47.0
2009,Pursat,Male,,2019-2020,45.7
2010,Pursat,Male,,2019-2020,44.5
2011,Pursat,Male,,2019-2020,34.6
2012,Pursat,Male,,2019-2020,31.2
2013,Pursat,Male,,2019-2020,31.8
2014,Pursat,Male,,2019-2020,30.1
2015,Pursat,Male,,2019-2020,30.6
2016,Pursat,Male,,2019-2020,36.3
2017,Pursat,Male,,2019-2020,36.2
2018,Pursat,Male,,2019-2020,36.5
2019,Pursat,Male,,2019-2020,38.3
2009,Pursat,,,2019-2020,46.5
2010,Pursat,,,2019-2020,45.6
2011,Pursat,,,2019-2020,36.5
2012,Pursat,,,2019-2020,32.2
2013,Pursat,,,2019-2020,33.5
2014,Pursat,,,2019-2020,32.5
2015,Pursat,,,2019-2020,33.4
2016,Pursat,,,2019-2020,38.7
2017,Pursat,,,2019-2020,40.9
2018,Pursat,,,2019-2020,41.0
2019,Pursat,,,2019-2020,42.5
2009,Ratanak Kiri,Female,,2019-2020,16.9
2010,Ratanak Kiri,Female,,2019-2020,16.8
2011,Ratanak Kiri,Female,,2019-2020,18.9
2012,Ratanak Kiri,Female,,2019-2020,21.3
2013,Ratanak Kiri,Female,,2019-2020,22.8
2014,Ratanak Kiri,Female,,2019-2020,24.1
2015,Ratanak Kiri,Female,,2019-2020,23.7
2016,Ratanak Kiri,Female,,2019-2020,28.8
2017,Ratanak Kiri,Female,,2019-2020,34.4
2018,Ratanak Kiri,Female,,2019-2020,40.5
2019,Ratanak Kiri,Female,,2019-2020,48.2
2009,Ratanak Kiri,Male,,2019-2020,25.0
2010,Ratanak Kiri,Male,,2019-2020,25.8
2011,Ratanak Kiri,Male,,2019-2020,27.0
2012,Ratanak Kiri,Male,,2019-2020,26.5
2013,Ratanak Kiri,Male,,2019-2020,25.9
2014,Ratanak Kiri,Male,,2019-2020,26.2
2015,Ratanak Kiri,Male,,2019-2020,27.8
2016,Ratanak Kiri,Male,,2019-2020,31.5
2017,Ratanak Kiri,Male,,2019-2020,38.7
2018,Ratanak Kiri,Male,,2019-2020,40.4
2019,Ratanak Kiri,Male,,2019-2020,45.6
2009,Ratanak Kiri,,,2019-2020,21.1
2010,Ratanak Kiri,,,2019-2020,21.2
2011,Ratanak Kiri,,,2019-2020,23.1
2012,Ratanak Kiri,,,2019-2020,24.0
2013,Ratanak Kiri,,,2019-2020,24.4
2014,Ratanak Kiri,,,2019-2020,25.2
2015,Ratanak Kiri,,,2019-2020,25.8
2016,Ratanak Kiri,,,2019-2020,30.1
2017,Ratanak Kiri,,,2019-2020,36.7
2018,Ratanak Kiri,,,2019-2020,40.4
2019,Ratanak Kiri,,,2019-2020,46.8
2009,Siemreap,Female,,2019-2020,43.7
2010,Siemreap,Female,,2019-2020,46.6
2011,Siemreap,Female,,2019-2020,42.3
2012,Siemreap,Female,,2019-2020,40.8
2013,Siemreap,Female,,2019-2020,41.5
2014,Siemreap,Female,,2019-2020,42.3
2015,Siemreap,Female,,2019-2020,43.8
2016,Siemreap,Female,,2019-2020,49.9
2017,Siemreap,Female,,2019-2020,52.3
2018,Siemreap,Female,,2019-2020,56.0
2019,Siemreap,Female,,2019-2020,55.8
2009,Siemreap,Male,,2019-2020,40.9
2010,Siemreap,Male,,2019-2020,43.6
2011,Siemreap,Male,,2019-2020,37.1
2012,Siemreap,Male,,2019-2020,33.3
2013,Siemreap,Male,,2019-2020,31.1
2014,Siemreap,Male,,2019-2020,31.8
2015,Siemreap,Male,,2019-2020,34.3
2016,Siemreap,Male,,2019-2020,35.8
2017,Siemreap,Male,,2019-2020,36.6
2018,Siemreap,Male,,2019-2020,40.1
2019,Siemreap,Male,,2019-2020,41.2
2009,Siemreap,,,2019-2020,42.3
2010,Siemreap,,,2019-2020,45.1
2011,Siemreap,,,2019-2020,39.6
2012,Siemreap,,,2019-2020,37.0
2013,Siemreap,,,2019-2020,36.2
2014,Siemreap,,,2019-2020,36.9
2015,Siemreap,,,2019-2020,38.9
2016,Siemreap,,,2019-2020,42.6
2017,Siemreap,,,2019-2020,44.2
2018,Siemreap,,,2019-2020,47.8
2019,Siemreap,,,2019-2020,48.3
2009,Stung Treng,Female,,2019-2020,38.0
2010,Stung Treng,Female,,2019-2020,40.3
2011,Stung Treng,Female,,2019-2020,36.0
2012,Stung Treng,Female,,2019-2020,30.9
2013,Stung Treng,Female,,2019-2020,30.3
2014,Stung Treng,Female,,2019-2020,27.7
2015,Stung Treng,Female,,2019-2020,27.4
2016,Stung Treng,Female,,2019-2020,28.9
2017,Stung Treng,Female,,2019-2020,34.0
2018,Stung Treng,Female,,2019-2020,36.8
2019,Stung Treng,Female,,2019-2020,40.4
2009,Stung Treng,Male,,2019-2020,39.0
2010,Stung Treng,Male,,2019-2020,42.9
2011,Stung Treng,Male,,2019-2020,31.1
2012,Stung Treng,Male,,2019-2020,30.7
2013,Stung Treng,Male,,2019-2020,32.2
2014,Stung Treng,Male,,2019-2020,29.5
2015,Stung Treng,Male,,2019-2020,24.6
2016,Stung Treng,Male,,2019-2020,27.8
2017,Stung Treng,Male,,2019-2020,33.2
2018,Stung Treng,Male,,2019-2020,34.6
2019,Stung Treng,Male,,2019-2020,35.6
2009,Stung Treng,,,2019-2020,38.5
2010,Stung Treng,,,2019-2020,41.6
2011,Stung Treng,,,2019-2020,33.5
2012,Stung Treng,,,2019-2020,30.8
2013,Stung Treng,,,2019-2020,31.2
2014,Stung Treng,,,2019-2020,28.6
2015,Stung Treng,,,2019-2020,26.0
2016,Stung Treng,,,2019-2020,28.4
2017,Stung Treng,,,2019-2020,33.6
2018,Stung Treng,,,2019-2020,35.6
2019,Stung Treng,,,2019-2020,38.0
2009,Svay Rieng,Female,,2019-2020,48.0
2010,Svay Rieng,Female,,2019-2020,38.7
2011,Svay Rieng,Female,,2019-2020,42.4
2012,Svay Rieng,Female,,2019-2020,40.3
2013,Svay Rieng,Female,,2019-2020,40.2
2014,Svay Rieng,Female,,2019-2020,44.6
2015,Svay Rieng,Female,,2019-2020,48.6
2016,Svay Rieng,Female,,2019-2020,56.6
2017,Svay Rieng,Female,,2019-2020,58.1
2018,Svay Rieng,Female,,2019-2020,62.9
2019,Svay Rieng,Female,,2019-2020,58.6
2009,Svay Rieng,Male,,2019-2020,59.0
2010,Svay Rieng,Male,,2019-2020,62.4
2011,Svay Rieng,Male,,2019-2020,52.1
2012,Svay Rieng,Male,,2019-2020,49.3
2013,Svay Rieng,Male,,2019-2020,47.8
2014,Svay Rieng,Male,,2019-2020,48.8
2015,Svay Rieng,Male,,2019-2020,47.9
2016,Svay Rieng,Male,,2019-2020,50.4
2017,Svay Rieng,Male,,2019-2020,52.6
2018,Svay Rieng,Male,,2019-2020,50.8
2019,Svay Rieng,Male,,2019-2020,48.4
2009,Svay Rieng,,,2019-2020,53.8
2010,Svay Rieng,,,2019-2020,49.7
2011,Svay Rieng,,,2019-2020,47.4
2012,Svay Rieng,,,2019-2020,45.0
2013,Svay Rieng,,,2019-2020,44.2
2014,Svay Rieng,,,2019-2020,46.8
2015,Svay Rieng,,,2019-2020,48.3
2016,Svay Rieng,,,2019-2020,53.3
2017,Svay Rieng,,,2019-2020,55.2
2018,Svay Rieng,,,2019-2020,56.5
2019,Svay Rieng,,,2019-2020,53.2
2009,Takeo,Female,,2019-2020,60.8
2010,Takeo,Female,,2019-2020,58.7
2011,Takeo,Female,,2019-2020,52.7
2012,Takeo,Female,,2019-2020,52.9
2013,Takeo,Female,,2019-2020,52.9
2014,Takeo,Female,,2019-2020,57.5
2015,Takeo,Female,,2019-2020,57.6
2016,Takeo,Female,,2019-2020,61.8
2017,Takeo,Female,,2019-2020,65.7
2018,Takeo,Female,,2019-2020,65.0
2019,Takeo,Female,,2019-2020,60.3
2009,Takeo,Male,,2019-2020,69.4
2010,Takeo,Male,,2019-2020,66.2
2011,Takeo,Male,,2019-2020,58.9
2012,Takeo,Male,,2019-2020,56.3
2013,Takeo,Male,,2019-2020,55.2
2014,Takeo,Male,,2019-2020,57.1
2015,Takeo,Male,,2019-2020,54.0
2016,Takeo,Male,,2019-2020,55.5
2017,Takeo,Male,,2019-2020,57.8
2018,Takeo,Male,,2019-2020,55.7
2019,Takeo,Male,,2019-2020,50.0
2009,Takeo,,,2019-2020,65.3
2010,Takeo,,,2019-2020,62.5
2011,Takeo,,,2019-2020,55.9
2012,Takeo,,,2019-2020,54.7
2013,Takeo,,,2019-2020,54.1
2014,Takeo,,,2019-2020,57.3
2015,Takeo,,,2019-2020,55.7
2016,Takeo,,,2019-2020,58.5
2017,Takeo,,,2019-2020,61.5
2018,Takeo,,,2019-2020,60.1
2019,Takeo,,,2019-2020,54.9
2014,Tboung Khmum,Female,,2019-2020,34.8
2015,Tboung Khmum,Female,,2019-2020,35.3
2016,Tboung Khmum,Female,,2019-2020,41.8
2017,Tboung Khmum,Female,,2019-2020,45.4
2018,Tboung Khmum,Female,,2019-2020,45.5
2019,Tboung Khmum,Female,,2019-2020,47.2
2014,Tboung Khmum,Male,,2019-2020,30.3
2015,Tboung Khmum,Male,,2019-2020,29.7
2016,Tboung Khmum,Male,,2019-2020,31.2
2017,Tboung Khmum,Male,,2019-2020,33.8
2018,Tboung Khmum,Male,,2019-2020,35.2
2019,Tboung Khmum,Male,,2019-2020,34.6
2014,Tboung Khmum,,,2019-2020,32.5
2015,Tboung Khmum,,,2019-2020,32.4
2016,Tboung Khmum,,,2019-2020,36.3
2017,Tboung Khmum,,,2019-2020,39.4
2018,Tboung Khmum,,,2019-2020,40.1
2019,Tboung Khmum,,,2019-2020,40.6
