Year,Reference area,Sex,Degree of urbanisation,Time period details,Value
2015,Cambodia,,Urban,2019-2020,72.6
2016,Cambodia,,Urban,2019-2020,71.0
2017,Cambodia,,Urban,2019-2020,69.3
2018,Cambodia,,Urban,2019-2020,73.0
2019,Cambodia,,Urban,2019-2020,73.1
2004,Cambodia,,Rural,2019-2020,45.7
2005,Cambodia,,Rural,2019-2020,41.7
2006,Cambodia,,Rural,2019-2020,90.0
2007,Cambodia,,Rural,2019-2020,86.8
2008,Cambodia,,Rural,2019-2020,86.4
2009,Cambodia,,Rural,2019-2020,83.0
2010,Cambodia,,Rural,2019-2020,84.3
2011,Cambodia,,Rural,2019-2020,92.4
2012,Cambodia,,Rural,2019-2020,94.0
2013,Cambodia,,Rural,2019-2020,91.7
2014,Cambodia,,Rural,2019-2020,86.5
2015,Cambodia,,Rural,2019-2020,82.5
2016,Cambodia,,Rural,2019-2020,82.0
2017,Cambodia,,Rural,2019-2020,81.4
2018,Cambodia,,Rural,2019-2020,84.4
2019,Cambodia,,Rural,2019-2020,85.8
2004,Cambodia,,Remote Area,2008-2009,26.0
2005,Cambodia,,Remote Area,2008-2009,24.7
2006,Cambodia,,Remote Area,2008-2009,52.4
2007,Cambodia,,Remote Area,2008-2009,54.1
2008,Cambodia,,Remote Area,2008-2009,59.0
2009,Banteay Meanchey,Female,,2019-2020,90.7
2010,Banteay Meanchey,Female,,2019-2020,94.6
2011,Banteay Meanchey,Female,,2019-2020,93.0
2012,Banteay Meanchey,Female,,2019-2020,85.1
2013,Banteay Meanchey,Female,,2019-2020,84.4
2014,Banteay Meanchey,Female,,2019-2020,77.5
2015,Banteay Meanchey,Female,,2019-2020,74.4
2016,Banteay Meanchey,Female,,2019-2020,73.2
2017,Banteay Meanchey,Female,,2019-2020,74.3
2018,Banteay Meanchey,Female,,2019-2020,78.4
2019,Banteay Meanchey,Female,,2019-2020,78.8
2009,Banteay Meanchey,Male,,2019-2020,85.4
2010,Banteay Meanchey,Male,,2019-2020,93.1
2011,Banteay Meanchey,Male,,2019-2020,90.2
2012,Banteay Meanchey,Male,,2019-2020,96.1
2013,Banteay Meanchey,Male,,2019-2020,82.4
2014,Banteay Meanchey,Male,,2019-2020,73.9
2015,Banteay Meanchey,Male,,2019-2020,67.6
2016,Banteay Meanchey,Male,,2019-2020,66.8
2017,Banteay Meanchey,Male,,2019-2020,65.1
2018,Banteay Meanchey,Male,,2019-2020,69.4
2019,Banteay Meanchey,Male,,2019-2020,73.1
2009,Banteay Meanchey,,,2019-2020,88.0
2010,Banteay Meanchey,,,2019-2020,93.9
2011,Banteay Meanchey,,,2019-2020,91.6
2012,Banteay Meanchey,,,2019-2020,90.8
2013,Banteay Meanchey,,,2019-2020,83.4
2014,Banteay Meanchey,,,2019-2020,75.6
2015,Banteay Meanchey,,,2019-2020,70.9
2016,Banteay Meanchey,,,2019-2020,69.9
2017,Banteay Meanchey,,,2019-2020,69.5
2018,Banteay Meanchey,,,2019-2020,73.7
2019,Banteay Meanchey,,,2019-2020,75.8
2009,Battambang,Female,,2019-2020,85.6
2010,Battambang,Female,,2019-2020,73.5
2011,Battambang,Female,,2019-2020,85.4
2012,Battambang,Female,,2019-2020,82.1
2013,Battambang,Female,,2019-2020,86.4
2014,Battambang,Female,,2019-2020,82.1
2015,Battambang,Female,,2019-2020,80.2
2016,Battambang,Female,,2019-2020,79.3
2017,Battambang,Female,,2019-2020,81.0
2018,Battambang,Female,,2019-2020,84.8
2019,Battambang,Female,,2019-2020,85.9
2009,Battambang,Male,,2019-2020,81.3
2010,Battambang,Male,,2019-2020,76.9
2011,Battambang,Male,,2019-2020,80.8
2012,Battambang,Male,,2019-2020,90.7
2013,Battambang,Male,,2019-2020,80.2
2014,Battambang,Male,,2019-2020,77.4
2015,Battambang,Male,,2019-2020,73.7
2016,Battambang,Male,,2019-2020,71.6
2017,Battambang,Male,,2019-2020,74.0
2018,Battambang,Male,,2019-2020,77.3
2019,Battambang,Male,,2019-2020,79.2
2009,Battambang,,,2019-2020,83.4
2010,Battambang,,,2019-2020,75.2
2011,Battambang,,,2019-2020,83.0
2012,Battambang,,,2019-2020,86.5
2013,Battambang,,,2019-2020,83.2
2014,Battambang,,,2019-2020,79.7
2015,Battambang,,,2019-2020,76.8
2016,Battambang,,,2019-2020,75.3
2017,Battambang,,,2019-2020,77.4
2018,Battambang,,,2019-2020,80.9
2019,Battambang,,,2019-2020,82.4
2009,Kampong Cham,Female,,2019-2020,82.2
2010,Kampong Cham,Female,,2019-2020,84.0
2011,Kampong Cham,Female,,2019-2020,91.6
2012,Kampong Cham,Female,,2019-2020,88.1
2013,Kampong Cham,Female,,2019-2020,94.4
2014,Kampong Cham,Female,,2019-2020,92.1
2015,Kampong Cham,Female,,2019-2020,87.8
2016,Kampong Cham,Female,,2019-2020,88.8
2017,Kampong Cham,Female,,2019-2020,88.1
2018,Kampong Cham,Female,,2019-2020,91.4
2019,Kampong Cham,Female,,2019-2020,91.9
2009,Kampong Cham,Male,,2019-2020,81.5
2010,Kampong Cham,Male,,2019-2020,77.9
2011,Kampong Cham,Male,,2019-2020,91.9
2012,Kampong Cham,Male,,2019-2020,97.3
2013,Kampong Cham,Male,,2019-2020,92.4
2014,Kampong Cham,Male,,2019-2020,86.8
2015,Kampong Cham,Male,,2019-2020,80.9
2016,Kampong Cham,Male,,2019-2020,79.4
2017,Kampong Cham,Male,,2019-2020,81.2
2018,Kampong Cham,Male,,2019-2020,82.8
2019,Kampong Cham,Male,,2019-2020,83.1
2009,Kampong Cham,,,2019-2020,81.8
2010,Kampong Cham,,,2019-2020,80.9
2011,Kampong Cham,,,2019-2020,91.8
2012,Kampong Cham,,,2019-2020,92.8
2013,Kampong Cham,,,2019-2020,93.4
2014,Kampong Cham,,,2019-2020,89.4
2015,Kampong Cham,,,2019-2020,84.2
2016,Kampong Cham,,,2019-2020,84.0
2017,Kampong Cham,,,2019-2020,84.6
2018,Kampong Cham,,,2019-2020,87.0
2019,Kampong Cham,,,2019-2020,87.4
2009,Kampong Chhnang,Female,,2019-2020,88.0
2010,Kampong Chhnang,Female,,2019-2020,97.9
2011,Kampong Chhnang,Female,,2019-2020,89.9
2012,Kampong Chhnang,Female,,2019-2020,88.9
2013,Kampong Chhnang,Female,,2019-2020,91.4
2014,Kampong Chhnang,Female,,2019-2020,90.2
2015,Kampong Chhnang,Female,,2019-2020,87.7
2016,Kampong Chhnang,Female,,2019-2020,84.5
2017,Kampong Chhnang,Female,,2019-2020,85.3
2018,Kampong Chhnang,Female,,2019-2020,87.7
2019,Kampong Chhnang,Female,,2019-2020,87.8
2009,Kampong Chhnang,Male,,2019-2020,82.2
2010,Kampong Chhnang,Male,,2019-2020,94.4
2011,Kampong Chhnang,Male,,2019-2020,85.0
2012,Kampong Chhnang,Male,,2019-2020,94.9
2013,Kampong Chhnang,Male,,2019-2020,84.1
2014,Kampong Chhnang,Male,,2019-2020,84.1
2015,Kampong Chhnang,Male,,2019-2020,77.9
2016,Kampong Chhnang,Male,,2019-2020,79.0
2017,Kampong Chhnang,Male,,2019-2020,76.8
2018,Kampong Chhnang,Male,,2019-2020,78.0
2019,Kampong Chhnang,Male,,2019-2020,79.2
2009,Kampong Chhnang,,,2019-2020,85.1
2010,Kampong Chhnang,,,2019-2020,96.1
2011,Kampong Chhnang,,,2019-2020,87.4
2012,Kampong Chhnang,,,2019-2020,92.0
2013,Kampong Chhnang,,,2019-2020,87.7
2014,Kampong Chhnang,,,2019-2020,87.1
2015,Kampong Chhnang,,,2019-2020,82.7
2016,Kampong Chhnang,,,2019-2020,81.7
2017,Kampong Chhnang,,,2019-2020,80.9
2018,Kampong Chhnang,,,2019-2020,82.8
2019,Kampong Chhnang,,,2019-2020,83.4
2009,Kampong Speu,Female,,2019-2020,86.4
2010,Kampong Speu,Female,,2019-2020,94.8
2011,Kampong Speu,Female,,2019-2020,88.3
2012,Kampong Speu,Female,,2019-2020,88.6
2013,Kampong Speu,Female,,2019-2020,94.4
2014,Kampong Speu,Female,,2019-2020,88.6
2015,Kampong Speu,Female,,2019-2020,82.6
2016,Kampong Speu,Female,,2019-2020,83.4
2017,Kampong Speu,Female,,2019-2020,78.4
2018,Kampong Speu,Female,,2019-2020,86.4
2019,Kampong Speu,Female,,2019-2020,87.3
2009,Kampong Speu,Male,,2019-2020,84.5
2010,Kampong Speu,Male,,2019-2020,103.5
2011,Kampong Speu,Male,,2019-2020,92.2
2012,Kampong Speu,Male,,2019-2020,96.6
2013,Kampong Speu,Male,,2019-2020,94.0
2014,Kampong Speu,Male,,2019-2020,88.2
2015,Kampong Speu,Male,,2019-2020,79.3
2016,Kampong Speu,Male,,2019-2020,77.0
2017,Kampong Speu,Male,,2019-2020,78.6
2018,Kampong Speu,Male,,2019-2020,80.3
2019,Kampong Speu,Male,,2019-2020,80.7
2009,Kampong Speu,,,2019-2020,85.5
2010,Kampong Speu,,,2019-2020,99.1
2011,Kampong Speu,,,2019-2020,90.2
2012,Kampong Speu,,,2019-2020,92.7
2013,Kampong Speu,,,2019-2020,94.2
2014,Kampong Speu,,,2019-2020,88.4
2015,Kampong Speu,,,2019-2020,80.9
2016,Kampong Speu,,,2019-2020,80.2
2017,Kampong Speu,,,2019-2020,78.5
2018,Kampong Speu,,,2019-2020,83.3
2019,Kampong Speu,,,2019-2020,84.0
2009,Kampong Thom,Female,,2019-2020,79.3
2010,Kampong Thom,Female,,2019-2020,83.4
2011,Kampong Thom,Female,,2019-2020,86.4
2012,Kampong Thom,Female,,2019-2020,82.7
2013,Kampong Thom,Female,,2019-2020,87.2
2014,Kampong Thom,Female,,2019-2020,83.1
2015,Kampong Thom,Female,,2019-2020,83.4
2016,Kampong Thom,Female,,2019-2020,84.1
2017,Kampong Thom,Female,,2019-2020,87.1
2018,Kampong Thom,Female,,2019-2020,84.7
2019,Kampong Thom,Female,,2019-2020,85.8
2009,Kampong Thom,Male,,2019-2020,74.8
2010,Kampong Thom,Male,,2019-2020,76.0
2011,Kampong Thom,Male,,2019-2020,82.0
2012,Kampong Thom,Male,,2019-2020,90.0
2013,Kampong Thom,Male,,2019-2020,81.3
2014,Kampong Thom,Male,,2019-2020,74.9
2015,Kampong Thom,Male,,2019-2020,69.8
2016,Kampong Thom,Male,,2019-2020,73.3
2017,Kampong Thom,Male,,2019-2020,70.8
2018,Kampong Thom,Male,,2019-2020,75.8
2019,Kampong Thom,Male,,2019-2020,73.9
2009,Kampong Thom,,,2019-2020,77.0
2010,Kampong Thom,,,2019-2020,79.6
2011,Kampong Thom,,,2019-2020,84.2
2012,Kampong Thom,,,2019-2020,86.4
2013,Kampong Thom,,,2019-2020,84.2
2014,Kampong Thom,,,2019-2020,79.0
2015,Kampong Thom,,,2019-2020,76.4
2016,Kampong Thom,,,2019-2020,78.6
2017,Kampong Thom,,,2019-2020,78.8
2018,Kampong Thom,,,2019-2020,80.1
2019,Kampong Thom,,,2019-2020,79.7
2009,Kampot,Female,,2019-2020,84.4
2010,Kampot,Female,,2019-2020,87.7
2011,Kampot,Female,,2019-2020,90.8
2012,Kampot,Female,,2019-2020,89.4
2013,Kampot,Female,,2019-2020,92.8
2014,Kampot,Female,,2019-2020,91.0
2015,Kampot,Female,,2019-2020,85.9
2016,Kampot,Female,,2019-2020,84.3
2017,Kampot,Female,,2019-2020,77.5
2018,Kampot,Female,,2019-2020,80.4
2019,Kampot,Female,,2019-2020,77.3
2009,Kampot,Male,,2019-2020,88.2
2010,Kampot,Male,,2019-2020,75.4
2011,Kampot,Male,,2019-2020,93.2
2012,Kampot,Male,,2019-2020,98.7
2013,Kampot,Male,,2019-2020,93.6
2014,Kampot,Male,,2019-2020,92.2
2015,Kampot,Male,,2019-2020,85.8
2016,Kampot,Male,,2019-2020,82.0
2017,Kampot,Male,,2019-2020,71.6
2018,Kampot,Male,,2019-2020,74.5
2019,Kampot,Male,,2019-2020,70.7
2009,Kampot,,,2019-2020,86.4
2010,Kampot,,,2019-2020,80.8
2011,Kampot,,,2019-2020,92.1
2012,Kampot,,,2019-2020,94.2
2013,Kampot,,,2019-2020,93.2
2014,Kampot,,,2019-2020,91.6
2015,Kampot,,,2019-2020,85.9
2016,Kampot,,,2019-2020,83.1
2017,Kampot,,,2019-2020,74.5
2018,Kampot,,,2019-2020,77.4
2019,Kampot,,,2019-2020,73.9
2009,Kandal,Female,,2019-2020,84.7
2010,Kandal,Female,,2019-2020,93.1
2011,Kandal,Female,,2019-2020,94.2
2012,Kandal,Female,,2019-2020,92.3
2013,Kandal,Female,,2019-2020,97.3
2014,Kandal,Female,,2019-2020,90.6
2015,Kandal,Female,,2019-2020,86.6
2016,Kandal,Female,,2019-2020,84.0
2017,Kandal,Female,,2019-2020,84.6
2018,Kandal,Female,,2019-2020,90.3
2019,Kandal,Female,,2019-2020,95.8
2009,Kandal,Male,,2019-2020,86.9
2010,Kandal,Male,,2019-2020,97.2
2011,Kandal,Male,,2019-2020,98.0
2012,Kandal,Male,,2019-2020,108.4
2013,Kandal,Male,,2019-2020,99.1
2014,Kandal,Male,,2019-2020,86.2
2015,Kandal,Male,,2019-2020,80.0
2016,Kandal,Male,,2019-2020,80.7
2017,Kandal,Male,,2019-2020,81.1
2018,Kandal,Male,,2019-2020,84.7
2019,Kandal,Male,,2019-2020,89.4
2009,Kandal,,,2019-2020,85.8
2010,Kandal,,,2019-2020,95.2
2011,Kandal,,,2019-2020,96.2
2012,Kandal,,,2019-2020,100.3
2013,Kandal,,,2019-2020,98.2
2014,Kandal,,,2019-2020,88.4
2015,Kandal,,,2019-2020,83.2
2016,Kandal,,,2019-2020,82.3
2017,Kandal,,,2019-2020,82.8
2018,Kandal,,,2019-2020,87.4
2019,Kandal,,,2019-2020,92.5
2009,Kep,Female,,2019-2020,90.0
2010,Kep,Female,,2019-2020,101.7
2011,Kep,Female,,2019-2020,85.3
2012,Kep,Female,,2019-2020,84.4
2013,Kep,Female,,2019-2020,87.0
2014,Kep,Female,,2019-2020,64.7
2015,Kep,Female,,2019-2020,62.8
2016,Kep,Female,,2019-2020,58.1
2017,Kep,Female,,2019-2020,56.7
2018,Kep,Female,,2019-2020,53.4
2019,Kep,Female,,2019-2020,51.1
2009,Kep,Male,,2019-2020,76.6
2010,Kep,Male,,2019-2020,99.6
2011,Kep,Male,,2019-2020,89.1
2012,Kep,Male,,2019-2020,80.6
2013,Kep,Male,,2019-2020,83.0
2014,Kep,Male,,2019-2020,65.3
2015,Kep,Male,,2019-2020,69.4
2016,Kep,Male,,2019-2020,58.4
2017,Kep,Male,,2019-2020,53.9
2018,Kep,Male,,2019-2020,48.8
2019,Kep,Male,,2019-2020,43.4
2009,Kep,,,2019-2020,83.1
2010,Kep,,,2019-2020,100.6
2011,Kep,,,2019-2020,87.3
2012,Kep,,,2019-2020,82.4
2013,Kep,,,2019-2020,84.9
2014,Kep,,,2019-2020,65.0
2015,Kep,,,2019-2020,66.2
2016,Kep,,,2019-2020,58.2
2017,Kep,,,2019-2020,55.2
2018,Kep,,,2019-2020,51.0
2019,Kep,,,2019-2020,47.1
2009,Koh Kong,Female,,2019-2020,55.2
2010,Koh Kong,Female,,2019-2020,88.7
2011,Koh Kong,Female,,2019-2020,78.5
2012,Koh Kong,Female,,2019-2020,74.6
2013,Koh Kong,Female,,2019-2020,71.0
2014,Koh Kong,Female,,2019-2020,68.9
2015,Koh Kong,Female,,2019-2020,65.0
2016,Koh Kong,Female,,2019-2020,61.9
2017,Koh Kong,Female,,2019-2020,63.4
2018,Koh Kong,Female,,2019-2020,66.2
2019,Koh Kong,Female,,2019-2020,68.6
2009,Koh Kong,Male,,2019-2020,97.9
2010,Koh Kong,Male,,2019-2020,74.1
2011,Koh Kong,Male,,2019-2020,77.5
2012,Koh Kong,Male,,2019-2020,75.3
2013,Koh Kong,Male,,2019-2020,79.2
2014,Koh Kong,Male,,2019-2020,68.0
2015,Koh Kong,Male,,2019-2020,57.0
2016,Koh Kong,Male,,2019-2020,55.3
2017,Koh Kong,Male,,2019-2020,56.0
2018,Koh Kong,Male,,2019-2020,63.2
2019,Koh Kong,Male,,2019-2020,54.6
2009,Koh Kong,,,2019-2020,76.8
2010,Koh Kong,,,2019-2020,80.8
2011,Koh Kong,,,2019-2020,78.0
2012,Koh Kong,,,2019-2020,75.0
2013,Koh Kong,,,2019-2020,75.2
2014,Koh Kong,,,2019-2020,68.4
2015,Koh Kong,,,2019-2020,60.9
2016,Koh Kong,,,2019-2020,58.5
2017,Koh Kong,,,2019-2020,59.6
2018,Koh Kong,,,2019-2020,64.7
2019,Koh Kong,,,2019-2020,61.4
2009,Kratie,Female,,2019-2020,72.6
2010,Kratie,Female,,2019-2020,72.9
2011,Kratie,Female,,2019-2020,70.5
2012,Kratie,Female,,2019-2020,67.0
2013,Kratie,Female,,2019-2020,75.3
2014,Kratie,Female,,2019-2020,77.3
2015,Kratie,Female,,2019-2020,76.9
2016,Kratie,Female,,2019-2020,77.8
2017,Kratie,Female,,2019-2020,75.9
2018,Kratie,Female,,2019-2020,78.2
2019,Kratie,Female,,2019-2020,82.2
2009,Kratie,Male,,2019-2020,71.4
2010,Kratie,Male,,2019-2020,75.3
2011,Kratie,Male,,2019-2020,68.4
2012,Kratie,Male,,2019-2020,77.9
2013,Kratie,Male,,2019-2020,71.3
2014,Kratie,Male,,2019-2020,70.3
2015,Kratie,Male,,2019-2020,69.6
2016,Kratie,Male,,2019-2020,67.3
2017,Kratie,Male,,2019-2020,68.4
2018,Kratie,Male,,2019-2020,72.0
2019,Kratie,Male,,2019-2020,73.8
2009,Kratie,,,2019-2020,72.0
2010,Kratie,,,2019-2020,74.2
2011,Kratie,,,2019-2020,69.5
2012,Kratie,,,2019-2020,72.5
2013,Kratie,,,2019-2020,73.3
2014,Kratie,,,2019-2020,73.8
2015,Kratie,,,2019-2020,73.2
2016,Kratie,,,2019-2020,72.5
2017,Kratie,,,2019-2020,72.1
2018,Kratie,,,2019-2020,75.0
2019,Kratie,,,2019-2020,78.0
2009,Mondul Kiri,Female,,2019-2020,50.9
2010,Mondul Kiri,Female,,2019-2020,73.7
2011,Mondul Kiri,Female,,2019-2020,76.6
2012,Mondul Kiri,Female,,2019-2020,54.4
2013,Mondul Kiri,Female,,2019-2020,79.0
2014,Mondul Kiri,Female,,2019-2020,68.4
2015,Mondul Kiri,Female,,2019-2020,73.6
2016,Mondul Kiri,Female,,2019-2020,74.7
2017,Mondul Kiri,Female,,2019-2020,74.7
2018,Mondul Kiri,Female,,2019-2020,78.9
2019,Mondul Kiri,Female,,2019-2020,79.5
2009,Mondul Kiri,Male,,2019-2020,57.1
2010,Mondul Kiri,Male,,2019-2020,73.6
2011,Mondul Kiri,Male,,2019-2020,70.3
2012,Mondul Kiri,Male,,2019-2020,59.5
2013,Mondul Kiri,Male,,2019-2020,70.8
2014,Mondul Kiri,Male,,2019-2020,64.4
2015,Mondul Kiri,Male,,2019-2020,64.7
2016,Mondul Kiri,Male,,2019-2020,65.8
2017,Mondul Kiri,Male,,2019-2020,67.6
2018,Mondul Kiri,Male,,2019-2020,67.4
2019,Mondul Kiri,Male,,2019-2020,69.3
2009,Mondul Kiri,,,2019-2020,54.0
2010,Mondul Kiri,,,2019-2020,73.6
2011,Mondul Kiri,,,2019-2020,73.4
2012,Mondul Kiri,,,2019-2020,57.0
2013,Mondul Kiri,,,2019-2020,74.9
2014,Mondul Kiri,,,2019-2020,66.4
2015,Mondul Kiri,,,2019-2020,69.1
2016,Mondul Kiri,,,2019-2020,70.2
2017,Mondul Kiri,,,2019-2020,71.1
2018,Mondul Kiri,,,2019-2020,73.1
2019,Mondul Kiri,,,2019-2020,74.3
2009,Oddar Meanchey,Female,,2019-2020,73.9
2010,Oddar Meanchey,Female,,2019-2020,74.5
2011,Oddar Meanchey,Female,,2019-2020,78.6
2012,Oddar Meanchey,Female,,2019-2020,77.4
2013,Oddar Meanchey,Female,,2019-2020,83.1
2014,Oddar Meanchey,Female,,2019-2020,77.6
2015,Oddar Meanchey,Female,,2019-2020,72.9
2016,Oddar Meanchey,Female,,2019-2020,70.5
2017,Oddar Meanchey,Female,,2019-2020,70.9
2018,Oddar Meanchey,Female,,2019-2020,76.5
2019,Oddar Meanchey,Female,,2019-2020,72.9
2009,Oddar Meanchey,Male,,2019-2020,77.8
2010,Oddar Meanchey,Male,,2019-2020,85.6
2011,Oddar Meanchey,Male,,2019-2020,74.9
2012,Oddar Meanchey,Male,,2019-2020,83.0
2013,Oddar Meanchey,Male,,2019-2020,78.5
2014,Oddar Meanchey,Male,,2019-2020,70.4
2015,Oddar Meanchey,Male,,2019-2020,65.5
2016,Oddar Meanchey,Male,,2019-2020,66.3
2017,Oddar Meanchey,Male,,2019-2020,64.8
2018,Oddar Meanchey,Male,,2019-2020,65.1
2019,Oddar Meanchey,Male,,2019-2020,63.9
2009,Oddar Meanchey,,,2019-2020,75.9
2010,Oddar Meanchey,,,2019-2020,79.7
2011,Oddar Meanchey,,,2019-2020,76.7
2012,Oddar Meanchey,,,2019-2020,80.3
2013,Oddar Meanchey,,,2019-2020,80.7
2014,Oddar Meanchey,,,2019-2020,73.9
2015,Oddar Meanchey,,,2019-2020,69.0
2016,Oddar Meanchey,,,2019-2020,68.3
2017,Oddar Meanchey,,,2019-2020,67.7
2018,Oddar Meanchey,,,2019-2020,70.6
2019,Oddar Meanchey,,,2019-2020,68.2
