Year,REF_AREA,SEX,URBANISATION,TIME_DETAIL,Value
2013,KH06,M,,2019-2020,81.3
2014,KH06,M,,2019-2020,74.9
2015,KH06,M,,2019-2020,69.8
2016,KH06,M,,2019-2020,73.3
2017,KH06,M,,2019-2020,70.8
2018,KH06,M,,2019-2020,75.8
2019,KH06,M,,2019-2020,73.9
2009,KH06,,,2019-2020,77.0
2010,KH06,,,2019-2020,79.6
2011,KH06,,,2019-2020,84.2
2012,KH06,,,2019-2020,86.4
2013,KH06,,,2019-2020,84.2
2014,KH06,,,2019-2020,79.0
2015,KH06,,,2019-2020,76.4
2016,KH06,,,2019-2020,78.6
2017,KH06,,,2019-2020,78.8
2018,KH06,,,2019-2020,80.1
2019,KH06,,,2019-2020,79.7
2009,KH07,F,,2019-2020,84.4
2010,KH07,F,,2019-2020,87.7
2011,KH07,F,,2019-2020,90.8
2012,KH07,F,,2019-2020,89.4
2013,KH07,F,,2019-2020,92.8
2014,KH07,F,,2019-2020,91.0
2015,KH07,F,,2019-2020,85.9
2016,KH07,F,,2019-2020,84.3
2017,KH07,F,,2019-2020,77.5
2018,KH07,F,,2019-2020,80.4
2019,KH07,F,,2019-2020,77.3
2009,KH07,M,,2019-2020,88.2
2010,KH07,M,,2019-2020,75.4
2011,KH07,M,,2019-2020,93.2
2012,KH07,M,,2019-2020,98.7
2013,KH07,M,,2019-2020,93.6
2014,KH07,M,,2019-2020,92.2
2015,KH07,M,,2019-2020,85.8
2016,KH07,M,,2019-2020,82.0
2017,KH07,M,,2019-2020,71.6
2018,KH07,M,,2019-2020,74.5
2019,KH07,M,,2019-2020,70.7
2009,KH07,,,2019-2020,86.4
2010,KH07,,,2019-2020,80.8
2011,KH07,,,2019-2020,92.1
2012,KH07,,,2019-2020,94.2
2013,KH07,,,2019-2020,93.2
2014,KH07,,,2019-2020,91.6
2015,KH07,,,2019-2020,85.9
2016,KH07,,,2019-2020,83.1
2017,KH07,,,2019-2020,74.5
2018,KH07,,,2019-2020,77.4
2019,KH07,,,2019-2020,73.9
2009,KH08,F,,2019-2020,84.7
2010,KH08,F,,2019-2020,93.1
2011,KH08,F,,2019-2020,94.2
2012,KH08,F,,2019-2020,92.3
2013,KH08,F,,2019-2020,97.3
2014,KH08,F,,2019-2020,90.6
2015,KH08,F,,2019-2020,86.6
2016,KH08,F,,2019-2020,84.0
2017,KH08,F,,2019-2020,84.6
2018,KH08,F,,2019-2020,90.3
2019,KH08,F,,2019-2020,95.8
2009,KH08,M,,2019-2020,86.9
2010,KH08,M,,2019-2020,97.2
2011,KH08,M,,2019-2020,98.0
2012,KH08,M,,2019-2020,108.4
2013,KH08,M,,2019-2020,99.1
2014,KH08,M,,2019-2020,86.2
2015,KH08,M,,2019-2020,80.0
2016,KH08,M,,2019-2020,80.7
2017,KH08,M,,2019-2020,81.1
2018,KH08,M,,2019-2020,84.7
2019,KH08,M,,2019-2020,89.4
2009,KH08,,,2019-2020,85.8
2010,KH08,,,2019-2020,95.2
2011,KH08,,,2019-2020,96.2
2012,KH08,,,2019-2020,100.3
2013,KH08,,,2019-2020,98.2
2014,KH08,,,2019-2020,88.4
2015,KH08,,,2019-2020,83.2
2016,KH08,,,2019-2020,82.3
2017,KH08,,,2019-2020,82.8
2018,KH08,,,2019-2020,87.4
2019,KH08,,,2019-2020,92.5
2009,KH23,F,,2019-2020,90.0
2010,KH23,F,,2019-2020,101.7
2011,KH23,F,,2019-2020,85.3
2012,KH23,F,,2019-2020,84.4
2013,KH23,F,,2019-2020,87.0
2014,KH23,F,,2019-2020,64.7
2015,KH23,F,,2019-2020,62.8
2016,KH23,F,,2019-2020,58.1
2017,KH23,F,,2019-2020,56.7
2018,KH23,F,,2019-2020,53.4
2019,KH23,F,,2019-2020,51.1
2009,KH23,M,,2019-2020,76.6
2010,KH23,M,,2019-2020,99.6
2011,KH23,M,,2019-2020,89.1
2012,KH23,M,,2019-2020,80.6
2013,KH23,M,,2019-2020,83.0
2014,KH23,M,,2019-2020,65.3
2015,KH23,M,,2019-2020,69.4
2016,KH23,M,,2019-2020,58.4
2017,KH23,M,,2019-2020,53.9
2018,KH23,M,,2019-2020,48.8
2019,KH23,M,,2019-2020,43.4
2009,KH23,,,2019-2020,83.1
2010,KH23,,,2019-2020,100.6
2011,KH23,,,2019-2020,87.3
2012,KH23,,,2019-2020,82.4
2013,KH23,,,2019-2020,84.9
2014,KH23,,,2019-2020,65.0
2015,KH23,,,2019-2020,66.2
2016,KH23,,,2019-2020,58.2
2017,KH23,,,2019-2020,55.2
2018,KH23,,,2019-2020,51.0
2019,KH23,,,2019-2020,47.1
2009,KH09,F,,2019-2020,55.2
2010,KH09,F,,2019-2020,88.7
2011,KH09,F,,2019-2020,78.5
2012,KH09,F,,2019-2020,74.6
2013,KH09,F,,2019-2020,71.0
2014,KH09,F,,2019-2020,68.9
2015,KH09,F,,2019-2020,65.0
2016,KH09,F,,2019-2020,61.9
2017,KH09,F,,2019-2020,63.4
2018,KH09,F,,2019-2020,66.2
2019,KH09,F,,2019-2020,68.6
2009,KH09,M,,2019-2020,97.9
2010,KH09,M,,2019-2020,74.1
2011,KH09,M,,2019-2020,77.5
2012,KH09,M,,2019-2020,75.3
2013,KH09,M,,2019-2020,79.2
2014,KH09,M,,2019-2020,68.0
2015,KH09,M,,2019-2020,57.0
2016,KH09,M,,2019-2020,55.3
2017,KH09,M,,2019-2020,56.0
2018,KH09,M,,2019-2020,63.2
2019,KH09,M,,2019-2020,54.6
2009,KH09,,,2019-2020,76.8
2010,KH09,,,2019-2020,80.8
2011,KH09,,,2019-2020,78.0
2012,KH09,,,2019-2020,75.0
2013,KH09,,,2019-2020,75.2
2014,KH09,,,2019-2020,68.4
2015,KH09,,,2019-2020,60.9
2016,KH09,,,2019-2020,58.5
2017,KH09,,,2019-2020,59.6
2018,KH09,,,2019-2020,64.7
2019,KH09,,,2019-2020,61.4
2009,KH10,F,,2019-2020,72.6
2010,KH10,F,,2019-2020,72.9
2011,KH10,F,,2019-2020,70.5
2012,KH10,F,,2019-2020,67.0
2013,KH10,F,,2019-2020,75.3
2014,KH10,F,,2019-2020,77.3
2015,KH10,F,,2019-2020,76.9
2016,KH10,F,,2019-2020,77.8
2017,KH10,F,,2019-2020,75.9
2018,KH10,F,,2019-2020,78.2
2019,KH10,F,,2019-2020,82.2
2009,KH10,M,,2019-2020,71.4
2010,KH10,M,,2019-2020,75.3
2011,KH10,M,,2019-2020,68.4
2012,KH10,M,,2019-2020,77.9
2013,KH10,M,,2019-2020,71.3
2014,KH10,M,,2019-2020,70.3
2015,KH10,M,,2019-2020,69.6
2016,KH10,M,,2019-2020,67.3
2017,KH10,M,,2019-2020,68.4
2018,KH10,M,,2019-2020,72.0
2019,KH10,M,,2019-2020,73.8
2009,KH10,,,2019-2020,72.0
2010,KH10,,,2019-2020,74.2
2011,KH10,,,2019-2020,69.5
2012,KH10,,,2019-2020,72.5
2013,KH10,,,2019-2020,73.3
2014,KH10,,,2019-2020,73.8
2015,KH10,,,2019-2020,73.2
2016,KH10,,,2019-2020,72.5
2017,KH10,,,2019-2020,72.1
2018,KH10,,,2019-2020,75.0
2019,KH10,,,2019-2020,78.0
2009,KH11,F,,2019-2020,50.9
2010,KH11,F,,2019-2020,73.7
2011,KH11,F,,2019-2020,76.6
2012,KH11,F,,2019-2020,54.4
2013,KH11,F,,2019-2020,79.0
2014,KH11,F,,2019-2020,68.4
2015,KH11,F,,2019-2020,73.6
2016,KH11,F,,2019-2020,74.7
2017,KH11,F,,2019-2020,74.7
2018,KH11,F,,2019-2020,78.9
2019,KH11,F,,2019-2020,79.5
2009,KH11,M,,2019-2020,57.1
2010,KH11,M,,2019-2020,73.6
2011,KH11,M,,2019-2020,70.3
2012,KH11,M,,2019-2020,59.5
2013,KH11,M,,2019-2020,70.8
2014,KH11,M,,2019-2020,64.4
2015,KH11,M,,2019-2020,64.7
2016,KH11,M,,2019-2020,65.8
2017,KH11,M,,2019-2020,67.6
2018,KH11,M,,2019-2020,67.4
2019,KH11,M,,2019-2020,69.3
2009,KH11,,,2019-2020,54.0
2010,KH11,,,2019-2020,73.6
2011,KH11,,,2019-2020,73.4
2012,KH11,,,2019-2020,57.0
2013,KH11,,,2019-2020,74.9
2014,KH11,,,2019-2020,66.4
2015,KH11,,,2019-2020,69.1
2016,KH11,,,2019-2020,70.2
2017,KH11,,,2019-2020,71.1
2018,KH11,,,2019-2020,73.1
2019,KH11,,,2019-2020,74.3
2009,KH22,F,,2019-2020,73.9
2010,KH22,F,,2019-2020,74.5
2011,KH22,F,,2019-2020,78.6
2012,KH22,F,,2019-2020,77.4
2013,KH22,F,,2019-2020,83.1
2014,KH22,F,,2019-2020,77.6
2015,KH22,F,,2019-2020,72.9
2016,KH22,F,,2019-2020,70.5
2017,KH22,F,,2019-2020,70.9
2018,KH22,F,,2019-2020,76.5
2019,KH22,F,,2019-2020,72.9
2009,KH22,M,,2019-2020,77.8
2010,KH22,M,,2019-2020,85.6
2011,KH22,M,,2019-2020,74.9
2012,KH22,M,,2019-2020,83.0
2013,KH22,M,,2019-2020,78.5
2014,KH22,M,,2019-2020,70.4
2015,KH22,M,,2019-2020,65.5
2016,KH22,M,,2019-2020,66.3
2017,KH22,M,,2019-2020,64.8
2018,KH22,M,,2019-2020,65.1
2019,KH22,M,,2019-2020,63.9
2009,KH22,,,2019-2020,75.9
2010,KH22,,,2019-2020,79.7
2011,KH22,,,2019-2020,76.7
2012,KH22,,,2019-2020,80.3
2013,KH22,,,2019-2020,80.7
2014,KH22,,,2019-2020,73.9
2015,KH22,,,2019-2020,69.0
2016,KH22,,,2019-2020,68.3
2017,KH22,,,2019-2020,67.7
2018,KH22,,,2019-2020,70.6
2019,KH22,,,2019-2020,68.2
2009,KH24,F,,2019-2020,72.8
2010,KH24,F,,2019-2020,74.6
2011,KH24,F,,2019-2020,63.5
2012,KH24,F,,2019-2020,64.9
2013,KH24,F,,2019-2020,65.3
2014,KH24,F,,2019-2020,67.3
2015,KH24,F,,2019-2020,63.6
2016,KH24,F,,2019-2020,66.0
2017,KH24,F,,2019-2020,62.1
2018,KH24,F,,2019-2020,62.7
2019,KH24,F,,2019-2020,60.2
2009,KH24,M,,2019-2020,72.6
2010,KH24,M,,2019-2020,76.3
2011,KH24,M,,2019-2020,60.0
2012,KH24,M,,2019-2020,65.4
2013,KH24,M,,2019-2020,67.3
2014,KH24,M,,2019-2020,64.4
2015,KH24,M,,2019-2020,58.1
2016,KH24,M,,2019-2020,53.7
2017,KH24,M,,2019-2020,52.0
2018,KH24,M,,2019-2020,52.5
2019,KH24,M,,2019-2020,56.9
2009,KH24,,,2019-2020,72.7
2010,KH24,,,2019-2020,75.5
2011,KH24,,,2019-2020,61.7
2012,KH24,,,2019-2020,65.2
2013,KH24,,,2019-2020,66.3
2014,KH24,,,2019-2020,65.8
2015,KH24,,,2019-2020,60.8
2016,KH24,,,2019-2020,59.6
2017,KH24,,,2019-2020,56.9
2018,KH24,,,2019-2020,57.4
2019,KH24,,,2019-2020,58.5
2009,KH12,F,,2019-2020,83.3
2010,KH12,F,,2019-2020,80.0
2011,KH12,F,,2019-2020,98.2
2012,KH12,F,,2019-2020,85.2
2013,KH12,F,,2019-2020,85.0
2014,KH12,F,,2019-2020,83.4
2015,KH12,F,,2019-2020,81.9
2016,KH12,F,,2019-2020,80.4
2017,KH12,F,,2019-2020,78.8
2018,KH12,F,,2019-2020,84.7
2019,KH12,F,,2019-2020,86.1
2009,KH12,M,,2019-2020,81.6
2010,KH12,M,,2019-2020,88.8
2011,KH12,M,,2019-2020,95.7
2012,KH12,M,,2019-2020,84.1
2013,KH12,M,,2019-2020,81.1
2014,KH12,M,,2019-2020,77.3
2015,KH12,M,,2019-2020,75.2
2016,KH12,M,,2019-2020,73.5
2017,KH12,M,,2019-2020,70.9
2018,KH12,M,,2019-2020,75.7
2019,KH12,M,,2019-2020,77.5
2009,KH12,,,2019-2020,82.4
2010,KH12,,,2019-2020,84.3
2011,KH12,,,2019-2020,96.9
2012,KH12,,,2019-2020,84.6
2013,KH12,,,2019-2020,73.0
2014,KH12,,,2019-2020,80.2
2015,KH12,,,2019-2020,78.4
2016,KH12,,,2019-2020,76.8
2017,KH12,,,2019-2020,74.6
2018,KH12,,,2019-2020,79.9
2019,KH12,,,2019-2020,81.6
2009,KH18,F,,2019-2020,70.4
2010,KH18,F,,2019-2020,76.2
2011,KH18,F,,2019-2020,80.1
2012,KH18,F,,2019-2020,95.0
2013,KH18,F,,2019-2020,70.7
2014,KH18,F,,2019-2020,68.5
2015,KH18,F,,2019-2020,72.7
2016,KH18,F,,2019-2020,69.5
2017,KH18,F,,2019-2020,71.4
2018,KH18,F,,2019-2020,69.9
2019,KH18,F,,2019-2020,68.8
2009,KH18,M,,2019-2020,73.8
2010,KH18,M,,2019-2020,79.7
2011,KH18,M,,2019-2020,79.8
2012,KH18,M,,2019-2020,52.8
2013,KH18,M,,2019-2020,74.3
2014,KH18,M,,2019-2020,64.2
2015,KH18,M,,2019-2020,70.6
2016,KH18,M,,2019-2020,67.4
2017,KH18,M,,2019-2020,65.1
2018,KH18,M,,2019-2020,65.9
2019,KH18,M,,2019-2020,62.9
2009,KH18,,,2019-2020,72.2
2010,KH18,,,2019-2020,78.0
2011,KH18,,,2019-2020,80.0
2012,KH18,,,2019-2020,73.3
2013,KH18,,,2019-2020,72.6
2014,KH18,,,2019-2020,66.3
2015,KH18,,,2019-2020,71.6
2016,KH18,,,2019-2020,68.4
2017,KH18,,,2019-2020,68.2
2018,KH18,,,2019-2020,67.9
2019,KH18,,,2019-2020,65.8
2009,KH13,F,,2019-2020,77.3
2010,KH13,F,,2019-2020,78.7
2011,KH13,F,,2019-2020,89.3
2012,KH13,F,,2019-2020,77.5
2013,KH13,F,,2019-2020,84.9
2014,KH13,F,,2019-2020,91.5
2015,KH13,F,,2019-2020,97.7
2016,KH13,F,,2019-2020,93.1
2017,KH13,F,,2019-2020,96.7
2018,KH13,F,,2019-2020,96.4
2019,KH13,F,,2019-2020,94.8
2009,KH13,M,,2019-2020,69.8
2010,KH13,M,,2019-2020,98.0
2011,KH13,M,,2019-2020,82.8
2012,KH13,M,,2019-2020,84.5
2013,KH13,M,,2019-2020,74.5
2014,KH13,M,,2019-2020,75.5
2015,KH13,M,,2019-2020,77.2
2016,KH13,M,,2019-2020,79.3
2017,KH13,M,,2019-2020,77.5
2018,KH13,M,,2019-2020,82.7
2019,KH13,M,,2019-2020,80.4
2009,KH13,,,2019-2020,73.5
2010,KH13,,,2019-2020,86.9
